,hotel_name,rating,review
0,Ecolodge Le Ravoraha,5,"Very warm and welcoming staff!
The rooms were clean and beautifully done.
The hotel is located right next to the beach! Food was amazing!"
1,Ecolodge Le Ravoraha,5,"What a lovely place to stay. Beautiful bungalow, right on the beach. Perfect for sunsets. Food is excellent in the restaurant, we didn't bother going anywhere else, which we would always usually do. Staff helpful. Drinks are more expensive …"
2,Ecolodge Le Ravoraha,5,A fantastic place where it's worth spending some days. Absolutely relaxing. Awsome people in charge of that place. Very good meal. And time to time local live music and dance.
3,Ecolodge Le Ravoraha,5,"We have stayed at Ecolodge Ravoraha for 12 days and brought back lots of great memories with us. All staff were friendly, the facilities are clean, the garden is well manicured, food was delicious and the hotel is very safe. They have 24 …"
4,Ecolodge Le Ravoraha,3,"During our whole trip in Madagascar, this was our only negative bump. While Sophie's bungalow are very nice, her personnel has very bad attitude. We stayed there 4 nights and after the first night we requested to pay for our dinning. We …"
5,Ecolodge Le Ravoraha,4,"Very welcoming staff, hotel close to the airport, pretty bungalows. food ok"
6,Ecolodge Le Ravoraha,5,Stunning beaches
7,Ecolodge Le Ravoraha,5, The place is very well conceptualized
8,Ecolodge Le Ravoraha,5, Quite simply the best vacation of my life both in terms of the landscape (a paradise on earth) and meetings. We stayed there for 17 days in November 2019 and almost a year later we still think of those we left. We
9,Ecolodge Le Ravoraha,5," Fairytale place, cozy, calm, intimate, staff and service worthy of great chefs."
10,Relais des Plateaux Hotel & Spa,5,"Excellent food... And amazing service!
Recommend!"
11,Relais des Plateaux Hotel & Spa,4,Very professional and well organized. Friendly and helpful staff!
12,Relais des Plateaux Hotel & Spa,4,"We stayed at the hotel 31/12/20 to 2/01/21.Very cool atmosphere for a 31st December. We went for diner early and most of the tables were already booked.
I ordered a ""Filet de Merou"" - very tasty and refined fish. Sent compliments to …"
13,Relais des Plateaux Hotel & Spa,5,"Lovely place, clean and serene. The staff is very friendly and hospitable. Great food! Reliable hotel shuttle services too. 👌🏿"
14,Relais des Plateaux Hotel & Spa,5,Room was clean and beds comfortable. We had the family room. Hotel staff very accommodating. Restaurant on site was fairly decent. Breakfast included in room price. Very short distance from Airport.
15,Relais des Plateaux Hotel & Spa,5,Beautiful hotel located in Antanarivo Close to the airport. Shuttle service available to the airport makes this a great stopover location or overnight. There is a wonderful spa area and large pool. The rooms are clean and well updated. The …
16,Relais des Plateaux Hotel & Spa,4,Nice and spacious rooms. Clean and tidy. Has a great pool and lounging area. Decent food. Great place to stay.
17,Relais des Plateaux Hotel & Spa,5,"Great place to be.
Exceptional food, quick service!
Definitely recommend!"
18,Relais des Plateaux Hotel & Spa,4,We had lunch at the restaurant. Food was very good. Location also was good being near the airport and a safer place .Team was helpful and friendly. Bread was so tasty that I bought some to bring home.
19,Relais des Plateaux Hotel & Spa,5,Nice hotel. Relaxed atmosphere and reliable pick up service. Perfect location close to the airport if you have an early flight. Good restaurant as well.
20,Constance Tsarabanjina Madagascar,5,"Amazing island. Unfortunately I left my crossbow at home and I couldn't hunt the lemurs, but this is probably a good thing because the lemur population was already struggling on its own and a night with me and my crossbow probably would have made worms the new apex predator."
21,Constance Tsarabanjina Madagascar,5,"Amazing. Could not say enough good things.
Paradise on earth.
The staff are unbelievable and go over and beyond. …"
22,Constance Tsarabanjina Madagascar,5,"Really love this awesome island. Amazing food and very nice staff. You can relax, enjoy every single minute while diving or scuba diving or just sleeping on the white sand beach. Great the chef I love his culinary creations. Also the staff at the diving totaly meet all my expectations."
23,Constance Tsarabanjina Madagascar,4,"It was really good. The staff are lovely and welcoming, can't do enough to help and tut Island is great."
24,Constance Tsarabanjina Madagascar,5,"The stay was far too short, private and pristine beaches helpful staff, hats off to chef ""claud"" who prepared our meals which was of the best quality. One have ample opportunity to meet the local culture and to interact with nature. Beautiful scuba diving is also available in this up class luxury resort."
25,Constance Tsarabanjina Madagascar,5,this is truly paradise my husband & I love it here this is our second time back .we will be back again . the staff our so friendly & can't do enough for you. we had such a lovely warm welcome when we arrived & there was a few familiar …
26,Constance Tsarabanjina Madagascar,5,Let the magic happen!
27,Constance Tsarabanjina Madagascar,5,I could write a long review but quite simply I could also sum it up by saying that this place is paradise! …
28,Constance Tsarabanjina Madagascar,5,"Beautiful, stunning and postcard perfect. Wonderful hospitality and great diving as well."
29,Constance Tsarabanjina Madagascar,5,"ECO CHIC LUXURY RESORT
LOCATION: the beauty of tsarabanjina’s white sand beaches, turquoise waters, …"
30,L'heure Bleue,5,"We stayed 3 weeks!! No kidding... I adored everything in that place, starting from the staff! They were so nice to us, treating us so great, felt spoiled at time... most of the time... the food was amazing, very tasty and delicious and last …"
31,L'heure Bleue,4,"We stayed in october. Lodge sea view - great room. Restaurant is great, infinity pool was amazing we didn’t want to get out. DON’T BOOK ON SUNDAY’S! there is super annoying party on the beach heavy bass from 2pm-1am."
32,L'heure Bleue,4,Stunning views. A little bit of paradise in paradise 👌
33,L'heure Bleue,5,Was traveling by myself from America and the staff took it upon themselves to check in with me to make sure I was feeling safe and comfortable. They never once made me feel like I was a bother to them and helped to make sure the locals …
34,L'heure Bleue,1,"My room was a dark broom cupboard, dinner service was lacking (to be polite), food average. Thank god it was only for 1 night. A sad end to an otherwise perfect holiday."
35,L'heure Bleue,5,"Wonderful stay, the team is friendly and professional. The restaurant was delicious and the hotel itself is charming.
I warmly recommend this place !"
36,L'heure Bleue,4,"This boutique hotel is definitely top notch. The luxury lodges are spacious equipped with a verandah that makes the guest feel on top of the world. The views are stunning (although the sun sets right behind, so you will need to walk to the …"
37,L'heure Bleue,5,"Amazing place. The view from the second floor of my bungalow was really nice, the owner was very welcoming and the food was amazing. I highly recommend it."
38,L'heure Bleue,5,Great place with swimming pools right on sea! The cottages built on sea are amazing and great for a lifetime stay!
39,L'heure Bleue,4,Very well maintained hotel with lovely views and a beautiful garden
40,Oceanis Home & Voyages,5,"My flight came in at 1:30 am, and the staff was still helpful at 3:00am. 25€ for the most basic room.. comes with soap, clean towels, toilet paper.. it was a great room! Slept very soundly."
41,Oceanis Home & Voyages,2,"Warning: they rip you off when you call a taxi. They tell you to pay at the counter, but they pocket your money and still have to pay the taxi.
Then breakfast was said to be included on booking.com, but it’s an extra 4 euro …"
42,Oceanis Home & Voyages,1,Someone from the staff stole my wallet and there was not water everyday. I booked a shuttle from the airport to the hotel and never pick me up. For the breakfast you need to wait for at least two hours. Honestly very bad service.
43,Oceanis Home & Voyages,5,The reception staffs were very kind and helpful
44,Oceanis Home & Voyages,5,Super friendly staff!
45,Oceanis Home & Voyages,3, Very nice staff. We were in a room on the side of the road. We slept badly because very noisy. The rooms are ok. The hotel is not a shame restaurant you have to go out to eat and the area is not very inviting ....
46,Oceanis Home & Voyages,3, Very clean room Good attention at reception. Excellent the restaurant.
47,Oceanis Home & Voyages,2," Photos much nicer than in reality. Staff friendly and helpful. For Malagasy standards, the hotel is fine."
48,Oceanis Home & Voyages,1,"(Translated by Google) Undaunted customer, I made several nights not consecutive in this hotel because of its proximity to the airport and the wifi is good.
My first night did not discourage me, although one of the beds is dirty, we …"
49,Oceanis Home & Voyages,5, Ok hotel with very helpful and smiling staff.
53,Baobab Tree Hotel & Spa,5,"Very elegant, classy and sophisticated hotel. The amenities at the hotel and it is especially worth it to book some massages. My 7 night stay had me use the bar, pool and restaurant frequently. Great selection of safe food and good drinks. …"
54,Baobab Tree Hotel & Spa,5,"Amazing hotel, clean rooms, good staff , and an amazing heated infinite pool."
55,Baobab Tree Hotel & Spa,5,"Very nice hotel and kitchen! Swimming pool under shadow, very useful in sunny or rainy days. Very nice seaview!"
56,Baobab Tree Hotel & Spa,5,"Very nice hotel, nice rooms, super fast WiFi, pool and other amenities"
57,Baobab Tree Hotel & Spa,5,Beautiful hotel with very friendly service! Totally is worth coming!
58,Baobab Tree Hotel & Spa,5,"Very good rooms, meal is perfect."
59,Baobab Tree Hotel & Spa,5,excellent service and Ambience
60,Baobab Tree Hotel & Spa,5,Very good food and stuff
61,Baobab Tree Hotel & Spa,5,Top class hotel
62,Baobab Tree Hotel & Spa,3,"(Translated by Google) Hotel with a very beautiful setting!
Having spent an afternoon to have access to the infinity pool I find however that it is not too worth it. Barely a few minutes in the pool after having made 2-3 …"
63,Anjiamarango Beach Resort,5,"Anjiamarango was wonderful! The owner was incredibly welcoming and accommodating. In spite of covid, we were well looked after, and many details were handled without even needing to think of it. The pool was beautiful and clean, and our …"
64,Anjiamarango Beach Resort,5,"Anjiamarango is quite possibly the most peaceful, remote, relaxed resort I have ever stayed at. The facilities are clean and the food is lovely. The staff and service are outstanding."
