,hotel_name,review,rating
0,Marrigold Hostel,Do not book at this hotel. We checked in on a dirty bathroom with used toothbrushed and used paper toilet seat cover. The bedsheets and duvets are very dirty . There are like thousands of residents living in the building and they only …,1/5
1,Marrigold Hostel,"we booked 2 rooms here thru agoda for 5 days with a lower price, but when we came there, they cancelled our booking even we already paid it, their reason is....they cancelled it because their check in time is 1pm to 6pm only...we came …",1/5
2,Marrigold Hostel,Very bad experience. We paid in advanced for the whole week of 5 days but charge for penalty of 100 HK$. This is due to late check in. Our travel is delayed from mla. Very low rate.,1/5
3,Marrigold Hostel,"This is the worst place you can imagine...tiny rooms, smelly, Pakistanians harassing you every time you enter/leave. Not even dogs would be allowed to stay in a small area like this. No towels given. Seriously is this allowed in a business city like Hong Kong????",1/5
4,Marrigold Hostel,"My parent's and my sister, was transferred to a different building, because they have no available room?! They were transferred to a small room with a double deck bed instead of the room with two beds which we thought we paid for. When we …",1/5
5,Marrigold Hostel,"Disgusting, refunded the next day, do yourself a favour and don't go",1/5
6,Marrigold Hostel,"Most disgusting hotel I've ever been to. Left after the first night to another hotel (do yourself a favour and stay at the Mia Casa in Kennedy town). Bed stains so had to sleep on top of doona, mould, tiny, ticking sound all night so couldn't sleep.",1/5
7,Marrigold Hostel,"Paid for 2 rooms but was only given 1 room for the first 2 nights of the four that was booked. Cramped in very tiny room. Owner is very unprofessional, banged the phone while settling the issue. Did not refund the 1 room for 2 nights. HORRIBLE!",1/5
8,Marrigold Hostel,"worse experience in Hostel, should book hotel for next trip",1/5
9,Marrigold Hostel,Worst living conditions experienced in Hong Kong,1/5
10,Toronto Motel,The place is lovely great atmosphere very clean close to Cbd.The stuff is amazing very kind helpful with advice about cheap local place to visit .Reception lady miss Lancy is to much of a sweetheart and energetic made my stay here very pleasant ❤️,5/5
11,Toronto Motel,I stayed there for a month. I have no complaints. If I would go to Hongkong again. I would definitely stay there again,5/5
12,Toronto Motel,This is definitely a scam !!! I booked a double room and I just got a single room ! Also it supposed to have a TV there is not ! They didn’t mention that there is no window! I will definitely never come back I’m very angry ! The pictures are totally different ! Also I found many cockroaches in my bed !,1/5
13,Toronto Motel,The room was very small and did not look anything like the picture in the ad. I booked a twin bedroom and got stuck with a single bed toe to toe with a twin bed against the wall. The TV had 6 channels that did not come in clear. …,3.2/5
14,Toronto Motel,Great location easy to access train bus n ferry,5/5
15,Toronto Motel,Difficult to evaluate one hotel in Hong-Kong because everything was narrow and small. But the ***ager was nice and service oriented.,3/5
16,Toronto Motel,Best motel with friendly staff who can help you buy ticket to Macau with lower price! Very helpfull,4/5
17,Toronto Motel,It's very good hotel very clean hotel I like it and very cheap compared to other hotel same area,4/5
18,Toronto Motel,Cramped for space. Don't completely believe what you see in the pictures on AirBnB. Demand for what you see on the pictures. …,3/5
19,Toronto Motel,Very bad service. An indian guy that doesn't know how to do the job. We've been waiting for almost an hour to get the room. Don't even think staying here.,1.7/5
20,Hong Kong Star Hostel,Never again booking here. Room is not clean and picture are wrong. Need to pay 600hkd more for a normal bed this I booking alredy. Shower is not in just for up price. …,1/5
21,Hong Kong Star Hostel,"DONT GO TO THIS HOSTEL!!!! THIS IS A RIP-OFF, THE ROOMS ARE INHUMAN AMD THE STAFF IS INCOMPETENT. They only want the money. The rooms are a joke, VERY VERS DIRTY, COCKROACHES, UGLY SMELL ... DO NOT BOOK THERE",1/5
22,Hong Kong Star Hostel,the surroundings is very scary. the personel was asking us for extra payment for a bathroom (but we booked a room with bathroom). The waters from taps smelled fishy. He was also very rude always screaming and called my aunt a bunch of bad things. DON'T EVER GO HERE.,1/5
23,Hong Kong Star Hostel,"Absolutely terrible. Booked and paid for a double room then when I saw it, it was a single bed. But worst of all, after the first night stay I was covered in BITES FROM BEDBUGS. Disgusting place and disgusting staff .",1/5
24,Hong Kong Star Hostel,"no star for this hostel..we requested for early check in and they replied ok, but when we came i wasnt expecting that type of place, they let us wait till 2 pm for check in and asking for extra 100 hk dollors for a 2 single bed whereas …",1/5
25,Hong Kong Star Hostel,"Avoid, don't go, this place is a joke. We booked room for 4 and got stinky, tiny room with two single beds . When we complained they requested extra 130 us dolars. We met at least 10 person cheated by this so called hostel. Absolutely …",1/5
26,Hong Kong Star Hostel,DON'T GO to this garbage place. Read other reviews. Cheaters!,1/5
27,Hong Kong Star Hostel,Seven friends were just robbed by this hostel. Do not book there! I have advised them to report to the police.,1/5
28,Hong Kong Star Hostel,Worst hostel ever.. the management is very bad...,1/5
29,Hong Kong Star Hostel,"I booked this hostel and there were so many beds in here, they even brought another bed into the room so there was very little space to move around.",2/5
30,European Hostel,(Translated by Google) If you are looking for the cheapest accommodation possible then the European hostel is the right solution. The room can accommodate just a bed and a very small refrigerator. The bathroom is best to stand on the floor …,1/5
31,European Hostel,,2/5
32,European Hostel,"(Translated by Google) Take the D block elevator and the 16th floor is open.
(Original)
Dブロックのエレベーターに乗って、16階が受け付けです。",3/5
33,European Hostel,,3/5
