,hotel_name,review,rating
0,Charming Hotel Hanoi,They call it a 2 stars hotel. I've stayed in hostels which was 10 times better than this. The room was disgusting. You couldn't even walk because your feet were adhere. So dirty place I'd ever been. The staff are very bad at English too. …,1/5
1,Charming Hotel Hanoi,Disgusting. Let me start by saying we travel cheap and aren't picky - but this was beyond a joke. Checked in last minute and got a room full of awful damp in the bathroom and room itself. It stunk of writing and the floor and walls were …,1/5
2,Charming Hotel Hanoi,"Had a bad experience with this hotel. I booked and paid via Agoda, once arrived hotel said that there was no more room available and put me to another poor hotel, the new hotel gave me a room in the 6th floor without elevator. And the room is like a bird nest! Never book this hotel again",1/5
3,Charming Hotel Hanoi,"We arrived having booked online a couple days beforehand. The owner then tried to make up an excuse, when they had clearly just over booked. Following that they tried to move us to their friends hotel that was absolutely awful. After 10 minutes of arguing they finally gave us our money back. Wouldn't recommend.",1/5
4,Charming Hotel Hanoi,"We booked three rooms, one of them was cancelled 1 hour before we got there and half of our friends found another hotel. After the first night we went around the city and when we came back all of our luggage from one of the rooms was taken …",1/5
5,Charming Hotel Hanoi,The room is not really clean as I imganined. The staff’s attudude is quite and unprofessional. …,1/5
6,Charming Hotel Hanoi,"After finding the hotel in a grim and slightly scary alley, we found a very disappointing hotel foyer. Before reaching our room, we saw a mouse run from the kitchen towards the breakfast 'room'. The window-less hotel room was dirty and …",1/5
7,Charming Hotel Hanoi,"We stayed here on the 14th and 15th of February and booked a Sapa Trekking trip through this property for the 16th,17th, 18th. The accommodation itself was fine however I would not recommend that you book a trip through them as we were …",1/5
8,Charming Hotel Hanoi,Place was dirty. The toilet seat was broken so it wasn't attatched to the toilet itself. The bed was aceptable eventho the sheets were not the cleanest. But the entire place was old and had the smell of a place with roaches. Didn't see …,1/5
9,Charming Hotel Hanoi,"Don't recommend, the room was old and dirty, the breakfast was awful and cold.",1/5
10,Hanoi Golden Holiday Hotel,"Great hotel. 5 star service with 3 star price. They treated my daughter very well and help us a lot to have best vacation. Thank you all the team. You are the best.
Take care!",5/5
11,Hanoi Golden Holiday Hotel,The cutest hotel in the old quarter of Hanoi. Great location and amazing staff. I recommend getting a room with a bath and balcony if it’s available. Great view of the town from up there. The breakfast is very good and you can order off a menu as well as buffet. A great place to call home while you’re in Hanoi the city of Poets!,5/5
12,Hanoi Golden Holiday Hotel,"A truly satisfying stay with Hanoi Golden Holiday Hotel. From the staff, to the rooms and to breakfast, everything was amazing! The rooms are really of high standards. Comfortable beds, sparkling clean (really sparkling) toilets and a TV …",5/5
13,Hanoi Golden Holiday Hotel,"The hotel is situated near many local sights and is literally five minutes walk from the main hubbub.
The street it's on has some good bars and cafes. Likewise the whole area is …",5/5
14,Hanoi Golden Holiday Hotel,Amazing staff with amazing service. Thank you Ms Kim and all team. You are the best. Take care!!!,5/5
15,Hanoi Golden Holiday Hotel,"Superb. The room was amazing. Little details like rose petals and cloths shaped into dogs make a big difference. Bathroom was very nice; included a tub and a wide variety of toiletries. The staff were extremely helpful, friendly and engaging. Love this hotel.",5/5
