,hotel_name,review,rating
0,Hotel Sintra,"Hotel is abit dated. But overall we stayed 3 nights was fine. Elevator was small and slow. The standard king room is big and with a bathtub. The cons for senior citizen when they shower, they need to climb up the bathtub which is a hassle to them. Location wise is superb which is the best attraction.",5/5
1,Hotel Sintra,"Good location, situated near and walkable to the ""wall"" in about 10 to 15min.
Room is decent and considered spacious. Room Decoration is old though. …",3/5
2,Hotel Sintra,"Good hotel with great location. 2 minutes walk to studio city free shuttle bus, 10 minutes walk to Senado Square, 20 minutes to St Paul Ruins. Supermarket in the same building but you have to go out from the hotel and go in from the other …",5/5
3,Hotel Sintra,"Hotel looks a bit old but service is still good enough to accommodate us. Since there is a room clean up early so they let us check in early.
Location definitely a good point. Easily to get to those famous attractions. …",4/5
4,Hotel Sintra,good for the price. cheaper than most of similar hotels in macau,3/5
5,Hotel Sintra,"It's a rather old school hotel. The rooms feel a bit heavy because the furnishings, decor and lighting. …",4/5
6,Hotel Sintra,"Consider the strategic location (walking distance to most attractions) and the very reasonable (for Macau nowadays) rate, there's every reason to like this hotel. It's not 5 star, more like in between a 3 to 4, small lobby with friendly …",4/5
7,Hotel Sintra,"Hotel was good value for money - rooms were clean, sizeable, and tidy. Plenty of amenities were already in the room: comb, toothbrush/paste, water, etc. Front desk was friendly and spoke good English and Chinese. Location is great too. …",3/5
8,Hotel Sintra,We enjoyed our stay at this hotel. The rooms were very clean and nice. Bathrooms were superb. The ambiance also was very relaxing. We were even surprised when they delivered complimentary birthday cake for my mom.,5/5
9,Hotel Sintra,"Great location. The biggest shopping mall in Macau, New Yaohan is right opposite the hotel. Recommended to live there.",5/5
10,Holiday Inn Macau,"Nicely located. Convenient to visit Center of town, many restaurants and snack shops around, 24-hour grocery market one block away.",4/5
11,Holiday Inn Macau,"Pros:
- The service is excellent. Staffs are super nice and willing to help.
- It is definitely a value choice when compared to its price. …",5/5
12,Holiday Inn Macau,"Friendly staffs, good food and great value of stay. I will definitely come back again.",5/5
13,Holiday Inn Macau,Best value and a great hotel in macau ! Always stayed here when visiting Macau and always enjoyed it !,5/5
14,Holiday Inn Macau,"Good location and hospitality, the friendly front desk staff can speak both Chinese and Cantonese. But the Chinese restaurant is operated by third party and the food bill can not be charged to the room account.",5/5
15,Holiday Inn Macau,Hotel staff are professional and well trained! It is convenient for all the food restaurants.,5/5
16,Holiday Inn Macau,"I live nearby the hotel. For this reason, when my family member come to visit Macau, I usually book this hotel for them... throughout these years, I have developed good relationship with the staff. they can recognize me and make me feel like home. The room is clean and cozy. Highly recommend",5/5
17,Holiday Inn Macau,Always stayed here when visiting Macau since 2005!great value and best friendly staff all round !,5/5
18,Holiday Inn Macau,"This hotel reception has warm welcome, they offered excellent breakfast and strict COVID-19 precautions",3/5
19,Holiday Inn Macau,My wife and I stayed here as part of our anniversary trip to Hong Kong and Macau. The service at this Holiday Inn was excellent. The location is not far from bus stops. The staff were helpful in getting taxis. …,5/5
20,澳門富華酒店,"Don’t be deceived by the grand entrance, the hotel rooms are disgusting!! The headboards are full of grease, the bathroom and the room are distressed and dirty to say the least and windows are broken and not be able to open or close …",1/5
21,澳門富華酒店,"This is not a hotel, just a motel. No wifi connection in my room, dirty bathroom, wet bed and it stinks really bad. I do not recommend this motel to anyone.",1/5
22,澳門富華酒店,"(Translated by Google) Rent for two days, two rooms, two rooms have problems with the toilet.
A toilet ceiling falls into the water. …",1/5
23,澳門富華酒店,"(Translated by Google) Poor service attitude, staying several times a year, staying for three days, leaving to leave your luggage and go to Zhuhai. …",1/5
