,hotel_name,review,rating
0,Travel Hub Highstreet,"Bed bugs !! A lot of bed bugs bites and manager have difficulty to deal with it !!
Party at the rooftops until 3 AM and a lot of music and noise se we can't sleep !!",1/5
1,Travel Hub Highstreet,Terrible toilets,1/5
2,Travel Hub Highstreet,Used to be my go-to stays whenever I wanted to stroll Pasar Seni areas. Stayed there for 3 times before but unfortunately my last time experiences was hideous. I went there last Saturday and booked double room (2-tier room) two days before …,1/5
3,Travel Hub Highstreet,(Translated by Google) Do not write that you have WiFi when it is not there. Everyone is sitting at the reception to get a WiFi connection. Absurd! …,1/5
4,Travel Hub Highstreet,"(Translated by Google) Ok I
(Original)
Ok je",1/5
5,Travel Hub Highstreet,"(Translated by Google) Dirty
(Original)
Грязно",1/5
6,Travel Hub Highstreet,,1/5
7,Travel Hub Highstreet,,1/5
8,Travel Hub Highstreet,,1/5
9,Travel Hub Highstreet,"The private rooms are fine for the price, but VERY damp and pretty claustrophobic (zero natural light). Staff in general is fine, but the manager (?) curt and borderline rude. Booked in part for their rooftop bar of which nowhere in the …",2/5
10,Hartamas Business Hotel,Nice budget hotel. Quite reasonable but the arrangement of the plug needs to be fixed and changed its location for better usage for the customers. Clean and cozy room. 👍🏻,3/5
11,Hartamas Business Hotel,For urgent I stayed der it low budget hotel can afford for emergency purposes,2/5
12,Hartamas Business Hotel,Got small hotel room. But quite nice and cozy to stay around the KL city. Service from the employee was nice and fine.,4/5
13,Hartamas Business Hotel,Just ok.. but the smell of tobacco from smoking is too strong on 2nd level.. I hope they can improve better..,3/5
14,Hartamas Business Hotel,Went there for the deal. Rm80 for 2 queen size bed. Not bad. But the weird thing is how inconvenient the sockets for charging placed too high away from the bed side table. Had to placed a kettle on a chair because the socket too far away …,3/5
15,Hartamas Business Hotel,"The room smelled bad and we had small roaches on the 2nd day. Hot water was not working, and the mattress is not 5 star as advertised. The staff however are friendly, and food nearby is good.",2/5
16,Hartamas Business Hotel,"Good choice business hotel. Clean and spacious room and courteous, friendly and helpful staff",3/5
17,Hartamas Business Hotel,Not so good environment and a little creepy. The hotel reception can even ask me which hotel did I book. They had 2 hotels name registered under same roof which kinda weird. Could not see much reviews before booking. For price it's worth for 4 people. Cleanliness is below par as the floor was a little oily,1/5
18,Hartamas Business Hotel,"The hotel was clean and quite nice for that price, in nice area too, cafes and shops around the hotel and open till midnight. The only one I complain is lift is not work properly, can go up to 3rd floor but can't go down, emergency stairs for go down 😀",3/5
19,Hartamas Business Hotel,A great budget hotel with clean and pleasant rooms. Roads leading to the hotel is rather narrow due to indiscriminate parking by motorists in non parking side of the roads.,4/5
20,My Homie Permaisuri,,4/5
21,My Homie Permaisuri,"(Translated by Google) Check in smaleman
(Original)
Cek in smaleman",5/5
22,My Homie Permaisuri,,5/5
23,Old Penang Hotel (Ampang Point),"old place, room filled with insects",1/5
24,Old Penang Hotel (Ampang Point),please read carefully.good value 4money.clean.freindly & close 2 food n shopping. But..beside hotel there is a heavy rock training center who starts rocking guitar & drums from midnight till morning. so u can never sleep..when we asked …,4/5
25,Old Penang Hotel (Ampang Point),The room was clean and nice .. The price also cheap.. 👍,4/5
26,Old Penang Hotel (Ampang Point),"friendly reception, good location 2 shop and is reasonably clean but no lift only stairs. toilet covers are worn out and one stained cushion chair in room..simple things if done can make it much better. add 2 shelves in each room.",3/5
27,Old Penang Hotel (Ampang Point),The bed smell so nice and the room looks very clean,5/5
28,Old Penang Hotel (Ampang Point),"Overall is fine and good, only car park is hardest to get. There is a Arab Cuisine at downstairs, very nice and prices also fair enough.",4/5
29,Old Penang Hotel (Ampang Point),"If you plan for 1 night only, it will be ok.
1. The parking during day is hard to get, but there are more parking available during night. …",3/5
30,Old Penang Hotel (Ampang Point),"Place very nice, staff friendly, you can improve",4/5
31,Old Penang Hotel (Ampang Point),Good hotel and cheap price but need some improvement in cleaning.,4/5
32,Old Penang Hotel (Ampang Point),Near to shopping mall banks etc,3/5
33,Sri Hartamas,"Hot water not working, no ventilation, elevator is a bit scary. But it's cheap, convenient spot, easy to look for anything",2/5
34,Sri Hartamas,Great location between Petaling Jaya and K.L. city centre.,2/5
35,Sri Hartamas,,2/5
36,Sri Hartamas,It provides comfortable room at a very reasonable price.,3/5
37,Sri Hartamas,Overall had a very pleasant stay except the hot shower not working.,3/5
38,Sri Hartamas,"It's pretty clean, staff are friendly only thing no parking.",3/5
39,Sri Hartamas,Small rooms. You can find everything near by,3/5
40,Sri Hartamas,nice,3/5
41,Sri Hartamas,,3/5
42,Sri Hartamas,Nice restaurants around,4/5
43,Hotel Hibiscus City,"Super unclean hotel, water leaking in almost all the possible areas of the rest rooms!",1/5
44,Hotel Hibiscus City,Sucks hotel ever. The worst ever I had been stayed in my life,1/5
45,Hotel Hibiscus City,Not Full Fill The Deal Asking more 30 Ringgets,1/5
46,Hotel Hibiscus City,"Bad place. Rooms like graves, Very dirty. And bad stuff.",1/5
47,Hotel Hibiscus City,"(Translated by Google) choke on blood
(Original)
cekek darah",1/5
48,Hotel Hibiscus City,"(Translated by Google) Pretty run down, dirty and renovation urgently needed. The reception is no longer occupied, you have to in the adjoining house and serve. The air conditioning is broken, you will take care of it when I'm back from the …",1/5
49,Hotel Hibiscus City,,1/5
50,Hotel Hibiscus City,,1/5
51,Hotel Hibiscus City,,1/5
52,Hotel Hibiscus City,,1/5
53,Sha La La Hostel,"Such a bad place to stay for long term! The manager (Malay guy) are superb useless and staff (Indian girl) are extremely rude! Owner of this hotel,please do take serious action before your hotel fall bankruptcy!!!",1/5
54,Sha La La Hostel,"Bathroom smell too much and dirty , Rude Indian staff",1/5
55,Sha La La Hostel,(Translated by Google) The black and ugly men's kitchen staff is very rude and annoying !! …,1/5
56,Sha La La Hostel,"(Translated by Google) Cheating with money, be careful
(Original) …",1/5
57,Sha La La Hostel,Nice value for money for backpackers. Toilet is share between male and female. Comfortable and clean,3/5
58,Sha La La Hostel,,3/5
59,Sha La La Hostel,Peacefull surrounding and humble staff,4/5
60,Sha La La Hostel,It's was good,4/5
61,Sha La La Hostel,Travellers-friendly hostel.,4/5
62,Sha La La Hostel,,4/5
63,Oasis Guest House,fantastic place.very cip price n all near from this place,5/5
64,Oasis Guest House,"suits me,guess.
i like a kind of quiet,have ur own privacy kind of place.
and this place suits me. …",4/5
65,Oasis Guest House,Very cheap backpacker guest house. The room we stayed had private bathroom. Covers basic needs of sleep and the rooms are clean and tidy. Staff is friendly and helpful. Nice terrace to hang out in the night with other people from the guest …,4/5
66,Oasis Guest House,I guess you get what you pay for. I enjoy the location a lot. The refrigerator in the room proved useful. Public transportation in the immediate area. At night the soft lighting was just beautiful. Staff is friendly and helpful. Enjoyed much less as a lot of noise from the corridor.,4.5/5
67,Oasis Guest House,Good place to stay...,5/5
68,Oasis Guest House,The location of the hotel is absolutely second to none. We were disappointed by the facilities at the hotel. There was free wired internet in the room. In terms of the room all well cleaned. Lots of light in the room. Drink selections were good in evening. Very fair price.,4.5/5
69,Oasis Guest House,"I would give it less than one star if I knew how.
I booked via a website like 6 hours earlier and by the time I reached the place I was informed that the room I booked was given to a bunch of people that …",1/5
70,Oasis Guest House,"Stayed one night on a trip earlier this month. Everything was fine. The hotel location is pretty good itself. Transportation was offered to areas of interest. BTW; very good service & advice. Dirty room Door didnt close property. Im not talking in general, but specifically for this OASIS guest house.",5/5
71,Oasis Guest House,"It was okay to stay in that guest House. The room was small with no window but the city is so loud we were happy to have a silent room.
Bathroom was okay. …",3/5
72,Oasis Guest House,"This was a tough review to write...
On the one hand: it's cheap, it's in a prime location, it has a wonderful rooftop patio, it includes a free (basic) breakfast, and there's always clean water to …",4/5
73,PODs The Backpackers Home & Cafe,"PODs has been a fav joint for many of us to hang out in, discuss books & to just chill while having yummy meals. The folks who work there are more like friends & family.love the laid back ambience as well.",5/5
74,PODs The Backpackers Home & Cafe,Love the foods... really nice..will come again here someday after this..,5/5
75,PODs The Backpackers Home & Cafe,I stayed here for 10days. They not change the bedsheets and towel. They not even clean the toilet and bathroom at all. Very smelly. I was asked for resit for my payment during check out. That also not given. Very bad service. Very very disappointed,1/5
76,PODs The Backpackers Home & Cafe,"Quite a nice quiet small joint - a heaven for backpackers accommodation. English breakfast served. The rates are quite pocket friendly more-sore for budget travelers. Its a few meters to KL Central making connections to any part of Malaysia easily accessible including airport train, bus and taxi transport",5/5
77,PODs The Backpackers Home & Cafe,"Cosy environment, friendliest staffs, extreme convenience especially with access to public transports ! Such a great place for backpackers ! There's a family-friendly cafe too !",5/5
78,PODs The Backpackers Home & Cafe,"I thought the location was great, right next to KL Sentral and Little India. Some amazing food places are located right next door and it’s a perfect place to stay when exploring the city. They also have a rooftop hang out area which was really nice. I enjoyed my stay.",5/5
79,PODs The Backpackers Home & Cafe,Decent price with a comfortable bunker bed. Personally prefer the upper deck as the side rail can be used to hang the clothes. There is a cozy living area on the ground floor. …,5/5
80,PODs The Backpackers Home & Cafe,"Always when I visit KL stay in this hostel.
Is a great location, rooms are very clean, comfortable beds, extremely friendly and helpful staff and roof top. I think is one of my favorite hostels looking forward to come back.",5/5
81,PODs The Backpackers Home & Cafe,"I spent two weeks. Would stay longer.
I like the location. It's close to Little India and 2km from Chinatown. …",5/5
82,PODs The Backpackers Home & Cafe,"The beds are comfortable, ducted air conditioning is perfect. It stops it being hot, but is not too cold. WiFi works well everywhere. And they do lots of little things to make staying there enjoyable.",5/5
83,Ampang Business Hotel,"This hotel is a decent hotel. The room is huge, and clean. Toilet just okay but ive seen better rooms with cheaper price. Oh and the room is not sound proof. I suggest that only open minded people as well as single people stay here cause …",3/5
84,Ampang Business Hotel,Nice Chicken GCB almost same like MacDonald and very cheap!,5/5
85,Ampang Business Hotel,"Rat stole my chocolate!
Should put air freshner...
Smell inside so disgusting... …",1/5
86,Ampang Business Hotel,"Not the best hotel that I stay , at least if you want a one night staying . Can say it's the best.",3/5
87,Ampang Business Hotel,Just nice for the bargain price.juz that its better if u can change the wardrobe that already broken n upgrade ur water supply for drinking purpose,4/5
88,Ampang Business Hotel,Counter Service need much improvement. The only memorable experience is hourly charge for late check-out. Even on no crowd weekdays. Durian smells on 2floor.,1/5
89,Ampang Business Hotel,"really great deal, next to tesco, convenient. also clean and great wifi.",5/5
90,Ampang Business Hotel,Clean small room with basic neccessities....,2/5
91,Ampang Business Hotel,Very nice hotel..... And friendly services,5/5
92,Ampang Business Hotel,Affordable and yeah comfy,3/5
93,City Central Hotel,Good.... value for money.. Satisfy cleaning. Helpful reception,5/5
94,City Central Hotel,Very strategic unit! Nice staff. Clean place,5/5
95,City Central Hotel,"Surpases the expectations set for a sub 10 USD/night hotel, over all a really good deal. …",5/5
96,City Central Hotel,Dirty blanket..ask the staff to change it but still no respond feel little bit dissapointed,1/5
97,City Central Hotel,"Clean, not smelly and calm stay. Good stay with cheaper price. Had a great sleep. Will sure choose to stay here more often....",5/5
98,City Central Hotel,"Super cheap rm39.39/room if book from agoda. A simple setting.got kettle,mineral water x2 provided,no coffee tea. Old version flat screen Tv cant connect with usb but with hdmi,but the tv wall design made it hard to reach the hdmi slot.",3/5
99,City Central Hotel,"Prepare not maximum. I'm checking, bath towel haven't, plastics small bin not set up. I'm set up by my self. Wash room floor still wet and smell.",3/5
100,City Central Hotel,Small room and room pic is not same with the advertisement on Agoda,2/5
101,City Central Hotel,"Clean and comfy, suitable for business trip",5/5
102,City Central Hotel,"Afforadble Budget hotel near KL sentral/Brickfeild at a 4 storey building. Easily accessable. Single rooms as low as rm50/night. Family rooks rm120/night.Value for money Facalities such as 24 inch TV, Mini fridge, Water heater,coffe making …",4/5
103,Fan Holidays & Agencies Sdn Bhd,"Book on Agoda. Pics show was totally different. Corridor was dark no light. Room was small, old and dirty. Area felt unsafe, not a good neighborhood. After check - in , on seeing the condition. We decided to move out straight away. Waste of money booking this hotel. Never stay here again.",1/5
104,Fan Holidays & Agencies Sdn Bhd,Checked in at about 3.50 am and decided to go and have some food. Came back at 4.20 am. and couldn't enter the premises. The receptionist was nowhere to be seen. There were some guys as well who were locked out. I called my wife to come …,1/5
105,Fan Holidays & Agencies Sdn Bhd,So bad service. They wanted to charge me 50 rm just because I broke one of cups (glass) is usually a few rm and when I want to refuse supervisor ask me my nationality what a racism. Their attitude depends on your nationality I cannot …,1/5
106,Fan Holidays & Agencies Sdn Bhd,Bad service!! Rude receptionist! Not recomended. Dirty room.,1/5
107,Fan Holidays & Agencies Sdn Bhd,Lousy dishonest hotel. Call up $128. Reach there front desk insisted $148 per night,1/5
108,Fan Holidays & Agencies Sdn Bhd,It’s very dirty place with rude receptionists,1/5
109,Fan Holidays & Agencies Sdn Bhd,Not friendly at all,1/5
110,Fan Holidays & Agencies Sdn Bhd,(Translated by Google) Nice hotel..but if in 3rd floor only there is no water ... …,1/5
111,Fan Holidays & Agencies Sdn Bhd,"(Translated by Google) Comfortable. Always stay there. Clean
(Original) …",1/5
112,Fan Holidays & Agencies Sdn Bhd,,1/5
113,Hotel Taiuba Inn,Said smoke free in the advert but actually its not even true. The bed is very comfortable. Best friendly experience with the staff named Shaiful,3/5
114,Hotel Taiuba Inn,Run down hotel. Rats and cockroaches everywhere. You get better quality rooms in any nearby hotels for the same price category.,1/5
115,Hotel Taiuba Inn,"Bedcover not white anymore... Stair to room its very tight... But price make certain about quality sih ya... So, suit with the price lah ya...",2/5
