,hotel_name,review,rating
0,Le Trianon,"Hotel in nice old building, with spacious rooms with a nice ambiance. Rooms have hot water and wifi and if you're lucky even a small balcony. While lonely planet mentions the busy street as downside, this did not bother us at all. Prices are reasonable at 90000Ar for a double.",5/5
1,Le Trianon,"Despite the older appearance of the hotel, we were happy with the basic amenities that were offered. Water runs hot, and the Wi-Fi connection was the fastest we’ve encountered (even faster than a luxury hotel’s). The staff member speaks …",4/5
2,Le Trianon,"Good quality basic hotel, rooms need some improvement, restaurant is very nice. Good creme brulee! Peddlers and rickshaw drivers outside entrance can be bothersome.",4/5
3,Le Trianon,"The guy in the reception gave us a wrong price for the taxi brousse to fianarantsoa and showed us a wrong Place in the map, where the official station should be. The next day we went to the place where only one unofficial taxi brousse was …",1/5
4,Le Trianon,Good restsurant at affordable prices.,4/5
5,Le Trianon,"(Translated by Google) Comfortable, spacious, good location, very good value for money. …",4/5
6,Le Trianon,(Translated by Google) Comfortable and spacious hotel. A ttasi9et environment close to everything. Too bad there are only 4 channels on TV. …,4/5
7,Le Trianon,"(Translated by Google) The boss, Dom, is nice and his establishment has a certain charm. The cuisine is varied and tasty. Recommended! …",5/5
8,Le Trianon,"(Translated by Google) Everything has improved
(Original)
Tout à améliorée",2/5
9,Le Trianon,"(Translated by Google) Great quality / price
(Original)
Grande qualità/prezzo",5/5
10,Auberge Chez Jeanne,"Relaxing and comforts of home in peaceful countryside surroundings. Super clean rooms, sparkling refreshing swimming pool and tasty meals. Enjoy clean air away from the city while admiring evening sunsets over the rice fields.",5/5
11,Auberge Chez Jeanne,Nice place,5/5
12,Auberge Chez Jeanne,Decent for Antananarivo.,3/5
13,Auberge Chez Jeanne,"(Translated by Google) Great room, neat and clean. Desk clerk couldn't speak English, so it was hard to explain that the water didn't work continuously in our room. This was ultimately due to the water pressure at peak times. It remains …",3/5
14,Auberge Chez Jeanne,"(Translated by Google) Excellent reception, the shuttle to the airport is punctual. The staff is really nice. I highly recommend this place very close to the airport which avoids the incredible traffic jams of the city center. …",5/5
15,Auberge Chez Jeanne,(Translated by Google) Jeanne is great. The place is not necessarily the most comfortable but they take care …,4/5
16,Auberge Chez Jeanne,"(Translated by Google) Very interesting address for travelers arriving or departing from the airport. The rooms are comfortable and well equipped. The establishment can also put in touch with excellent service providers (transport, guide …",5/5
17,Auberge Chez Jeanne,"(Translated by Google) Loved it.
Clean, there is everything you need.
The hostess is friendly and welcoming. …",5/5
18,Auberge Chez Jeanne,"(Translated by Google) Mrs Jeanne rhymes with hospitality, the rooms are super comfortable, the breakfast is excellent.Thanks Mrs Jeanne …",5/5
19,Auberge Chez Jeanne,(Translated by Google) superb personal setting very nice meal very good i recommend to anyone wanting to discover tananariv clean and personal place to listen …,5/5
20,OCEANIS HOME & VOYAGES,,1/5
21,OCEANIS HOME & VOYAGES,,2/5
22,OCEANIS HOME & VOYAGES,,3/5
23,OCEANIS HOME & VOYAGES,"(Translated by Google) A very good hotel near the airport.
Friendly staff. Decent rooms. I recommend this hotel. …",4/5
24,OCEANIS HOME & VOYAGES,"(Translated by Google) I visit this place really very CBON
(Original) …",4/5
25,OCEANIS HOME & VOYAGES,"(Translated by Google) This is a great hotel, I highly recommend it!
(Original) …",4/5
26,OCEANIS HOME & VOYAGES,Best regards,5/5
27,OCEANIS HOME & VOYAGES,"(Translated by Google) Recent, clean and very welcoming.
Very convenient because close to the airport. …",5/5
28,OCEANIS HOME & VOYAGES,,5/5
29,OCEANIS HOME & VOYAGES,,5/5
30,Le Relais Normand,Home away from home. Very good continental restaurant also,5/5
31,Le Relais Normand,"Worth it, even for a higher price!",4/5
