,hotel_name,review,rating
0,Ecolodge Le Ravoraha,"Very warm and welcoming staff!
The rooms were clean and beautifully done.
The hotel is located right next to the beach! Food was amazing!",5/5
1,Ecolodge Le Ravoraha,"What a lovely place to stay. Beautiful bungalow, right on the beach. Perfect for sunsets. Food is excellent in the restaurant, we didn't bother going anywhere else, which we would always usually do. Staff helpful. Drinks are more expensive …",5/5
2,Ecolodge Le Ravoraha,A fantastic place where it's worth spending some days. Absolutely relaxing. Awsome people in charge of that place. Very good meal. And time to time local live music and dance.,5/5
3,Ecolodge Le Ravoraha,"We have stayed at Ecolodge Ravoraha for 12 days and brought back lots of great memories with us. All staff were friendly, the facilities are clean, the garden is well manicured, food was delicious and the hotel is very safe. They have 24 …",5/5
4,Ecolodge Le Ravoraha,"During our whole trip in Madagascar, this was our only negative bump. While Sophie's bungalow are very nice, her personnel has very bad attitude. We stayed there 4 nights and after the first night we requested to pay for our dinning. We …",3/5
5,Ecolodge Le Ravoraha,"Very welcoming staff, hotel close to the airport, pretty bungalows. food ok",4/5
6,Ecolodge Le Ravoraha,Stunning beaches,5/5
7,Ecolodge Le Ravoraha,"(Translated by Google) The place is very well conceptualized
(Original) …",5/5
8,Ecolodge Le Ravoraha,(Translated by Google) Quite simply the best vacation of my life both in terms of the landscape (a paradise on earth) and meetings. We stayed there for 17 days in November 2019 and almost a year later we still think of those we left. We …,5/5
9,Ecolodge Le Ravoraha,"(Translated by Google) Fairytale place, cozy, calm, intimate, staff and service worthy of great chefs. …",5/5
10,Relais des Plateaux Hotel & Spa,"Excellent food... And amazing service!
Recommend!",5/5
11,Relais des Plateaux Hotel & Spa,Very professional and well organized. Friendly and helpful staff!,4/5
12,Relais des Plateaux Hotel & Spa,"We stayed at the hotel 31/12/20 to 2/01/21.Very cool atmosphere for a 31st December. We went for diner early and most of the tables were already booked.
I ordered a ""Filet de Merou"" - very tasty and refined fish. Sent compliments to …",4/5
13,Relais des Plateaux Hotel & Spa,"Lovely place, clean and serene. The staff is very friendly and hospitable. Great food! Reliable hotel shuttle services too. 👌🏿",5/5
14,Relais des Plateaux Hotel & Spa,Room was clean and beds comfortable. We had the family room. Hotel staff very accommodating. Restaurant on site was fairly decent. Breakfast included in room price. Very short distance from Airport.,5/5
15,Relais des Plateaux Hotel & Spa,Beautiful hotel located in Antanarivo Close to the airport. Shuttle service available to the airport makes this a great stopover location or overnight. There is a wonderful spa area and large pool. The rooms are clean and well updated. The …,5/5
16,Relais des Plateaux Hotel & Spa,Nice and spacious rooms. Clean and tidy. Has a great pool and lounging area. Decent food. Great place to stay.,4/5
17,Relais des Plateaux Hotel & Spa,"Great place to be.
Exceptional food, quick service!
Definitely recommend!",5/5
18,Relais des Plateaux Hotel & Spa,We had lunch at the restaurant. Food was very good. Location also was good being near the airport and a safer place .Team was helpful and friendly. Bread was so tasty that I bought some to bring home.,4/5
19,Relais des Plateaux Hotel & Spa,Nice hotel. Relaxed atmosphere and reliable pick up service. Perfect location close to the airport if you have an early flight. Good restaurant as well.,5/5
20,Constance Tsarabanjina Madagascar,"Amazing island. Unfortunately I left my crossbow at home and I couldn't hunt the lemurs, but this is probably a good thing because the lemur population was already struggling on its own and a night with me and my crossbow probably would have made worms the new apex predator.",5/5
21,Constance Tsarabanjina Madagascar,"Amazing. Could not say enough good things.
Paradise on earth.
The staff are unbelievable and go over and beyond. …",5/5
22,Constance Tsarabanjina Madagascar,"Really love this awesome island. Amazing food and very nice staff. You can relax, enjoy every single minute while diving or scuba diving or just sleeping on the white sand beach. Great the chef I love his culinary creations. Also the staff at the diving totaly meet all my expectations.",5/5
23,Constance Tsarabanjina Madagascar,"It was really good. The staff are lovely and welcoming, can't do enough to help and tut Island is great.",4/5
24,Constance Tsarabanjina Madagascar,"The stay was far too short, private and pristine beaches helpful staff, hats off to chef ""claud"" who prepared our meals which was of the best quality. One have ample opportunity to meet the local culture and to interact with nature. Beautiful scuba diving is also available in this up class luxury resort.",5/5
25,Constance Tsarabanjina Madagascar,this is truly paradise my husband & I love it here this is our second time back .we will be back again . the staff our so friendly & can't do enough for you. we had such a lovely warm welcome when we arrived & there was a few familiar …,5/5
26,Constance Tsarabanjina Madagascar,Let the magic happen!,5/5
27,Constance Tsarabanjina Madagascar,I could write a long review but quite simply I could also sum it up by saying that this place is paradise! …,5/5
28,Constance Tsarabanjina Madagascar,"Beautiful, stunning and postcard perfect. Wonderful hospitality and great diving as well.",5/5
29,Constance Tsarabanjina Madagascar,"ECO CHIC LUXURY RESORT
LOCATION: the beauty of tsarabanjina’s white sand beaches, turquoise waters, …",5/5
30,L'heure Bleue,"We stayed 3 weeks!! No kidding... I adored everything in that place, starting from the staff! They were so nice to us, treating us so great, felt spoiled at time... most of the time... the food was amazing, very tasty and delicious and last …",5/5
31,L'heure Bleue,"We stayed in october. Lodge sea view - great room. Restaurant is great, infinity pool was amazing we didn’t want to get out. DON’T BOOK ON SUNDAY’S! there is super annoying party on the beach heavy bass from 2pm-1am.",4/5
32,L'heure Bleue,Stunning views. A little bit of paradise in paradise 👌,4/5
33,L'heure Bleue,Was traveling by myself from America and the staff took it upon themselves to check in with me to make sure I was feeling safe and comfortable. They never once made me feel like I was a bother to them and helped to make sure the locals …,5/5
34,L'heure Bleue,"My room was a dark broom cupboard, dinner service was lacking (to be polite), food average. Thank god it was only for 1 night. A sad end to an otherwise perfect holiday.",1/5
35,L'heure Bleue,"Wonderful stay, the team is friendly and professional. The restaurant was delicious and the hotel itself is charming.
I warmly recommend this place !",5/5
36,L'heure Bleue,"This boutique hotel is definitely top notch. The luxury lodges are spacious equipped with a verandah that makes the guest feel on top of the world. The views are stunning (although the sun sets right behind, so you will need to walk to the …",4/5
37,L'heure Bleue,"Amazing place. The view from the second floor of my bungalow was really nice, the owner was very welcoming and the food was amazing. I highly recommend it.",5/5
38,L'heure Bleue,Great place with swimming pools right on sea! The cottages built on sea are amazing and great for a lifetime stay!,5/5
39,L'heure Bleue,Very well maintained hotel with lovely views and a beautiful garden,4/5
40,Oceanis Home & Voyages,"My flight came in at 1:30 am, and the staff was still helpful at 3:00am. 25€ for the most basic room.. comes with soap, clean towels, toilet paper.. it was a great room! Slept very soundly.",5/5
41,Oceanis Home & Voyages,"Warning: they rip you off when you call a taxi. They tell you to pay at the counter, but they pocket your money and still have to pay the taxi.
Then breakfast was said to be included on booking.com, but it’s an extra 4 euro …",2/5
42,Oceanis Home & Voyages,Someone from the staff stole my wallet and there was not water everyday. I booked a shuttle from the airport to the hotel and never pick me up. For the breakfast you need to wait for at least two hours. Honestly very bad service.,1/5
43,Oceanis Home & Voyages,The reception staffs were very kind and helpful,5/5
44,Oceanis Home & Voyages,Super friendly staff!,5/5
45,Oceanis Home & Voyages,(Translated by Google) Very nice staff. We were in a room on the side of the road. We slept badly because very noisy. The rooms are ok. The hotel is not a shame restaurant you have to go out to eat and the area is not very inviting .... …,3/5
46,Oceanis Home & Voyages,(Translated by Google) Very clean room Good attention at reception. Excellent the restaurant. …,3/5
47,Oceanis Home & Voyages,"(Translated by Google) Photos much nicer than in reality. Staff friendly and helpful. For Malagasy standards, the hotel is fine. …",2/5
48,Oceanis Home & Voyages,"(Translated by Google) Undaunted customer, I made several nights not consecutive in this hotel because of its proximity to the airport and the wifi is good.
My first night did not discourage me, although one of the beds is dirty, we …",1/5
49,Oceanis Home & Voyages,"(Translated by Google) Ok hotel with very helpful and smiling staff.
(Original) …",5/5
50,Constance Lodge,,5/5
51,Constance Lodge,,5/5
52,Constance Lodge,,5/5
53,Baobab Tree Hotel & Spa,"Very elegant, classy and sophisticated hotel. The amenities at the hotel and it is especially worth it to book some massages. My 7 night stay had me use the bar, pool and restaurant frequently. Great selection of safe food and good drinks. …",5/5
54,Baobab Tree Hotel & Spa,"Amazing hotel, clean rooms, good staff , and an amazing heated infinite pool.",5/5
55,Baobab Tree Hotel & Spa,"Very nice hotel and kitchen! Swimming pool under shadow, very useful in sunny or rainy days. Very nice seaview!",5/5
56,Baobab Tree Hotel & Spa,"Very nice hotel, nice rooms, super fast WiFi, pool and other amenities",5/5
57,Baobab Tree Hotel & Spa,Beautiful hotel with very friendly service! Totally is worth coming!,5/5
58,Baobab Tree Hotel & Spa,"Very good rooms, meal is perfect.",5/5
59,Baobab Tree Hotel & Spa,excellent service and Ambience,5/5
60,Baobab Tree Hotel & Spa,Very good food and stuff,5/5
61,Baobab Tree Hotel & Spa,Top class hotel,5/5
62,Baobab Tree Hotel & Spa,"(Translated by Google) Hotel with a very beautiful setting!
Having spent an afternoon to have access to the infinity pool I find however that it is not too worth it. Barely a few minutes in the pool after having made 2-3 …",3/5
63,Anjiamarango Beach Resort,"Anjiamarango was wonderful! The owner was incredibly welcoming and accommodating. In spite of covid, we were well looked after, and many details were handled without even needing to think of it. The pool was beautiful and clean, and our …",5/5
64,Anjiamarango Beach Resort,"Anjiamarango is quite possibly the most peaceful, remote, relaxed resort I have ever stayed at. The facilities are clean and the food is lovely. The staff and service are outstanding.",5/5
65,Anjiamarango Beach Resort,Good food and accommodation. Great staff who is always friendly and helpful. Beautiful scenery and close to the sea. Really a great place to relax and rest.,5/5
66,Anjiamarango Beach Resort,Philippe is a fantastic host. Nothing was too much trouble for him. Chalets very comfortable. Did not miss not having hot water. Excursions were all amazing. Massages were so good we each had four in seven days. Next time we will stay longer!!!,5/5
67,Anjiamarango Beach Resort,Quiet and relaxing place. Great meals.,4/5
68,Anjiamarango Beach Resort,"Phenomenal place, cannot recommend highly enough. This is The place to unwind, relax and enjoy the peace and quiet. There was not one part of our stay that should have been different.",5/5
69,Anjiamarango Beach Resort,"The best place to be in that island, if it's not the only. There will be things you'll be disturb about it like: the traveling vichles that you promised with is not true, will hurt your back and tired your whole body , some places you will not visit as the backagge point out. Be aware of what you pay..",4/5
70,Anjiamarango Beach Resort,"It's really great for a holiday as it is quiet and peaceful. Not too busy or touristy like the cities. However, there is no hot shower so just take note and request for hot water to be taken to your banglow if you need it.",4/5
71,Anjiamarango Beach Resort,"Loved the secluded beach, all the activities that were organised from the hotel reception, absolute friendly and professional staff and overall pampered experience!",5/5
72,Anjiamarango Beach Resort,What an amazing experience. The staff are so friendly and they go out of their way to make you as comfortable as possible. The accommodation is great. The restuarant has a wide variety of dishes to choose from. There are fantastic …,5/5
73,Isalo Rock Lodge,"The place is really top top top!
The only thing is: the internet in the room doesn’t work. And no mobile network too. The rooms are shockingly good! If you want to go to the park, ask for the guide named Xavier: this guy is just amazing and you will have lots of fun during the excursion!",4/5
74,Isalo Rock Lodge,"Second time we stayed here and it is simply an amazing place. A must do, the view, the staff, the rooms. We highly recommend this place, we tried all the other hotels around the area but this one a gem.",5/5
75,Isalo Rock Lodge,"After a hard a long day road on the N7, you finally get to see the first shape of Isalo National Park and its really shredded Rocky Mountains. And at the end of this road, Isalo Rock lodge , astonishing and breathtaking place. Well located, …",5/5
76,Isalo Rock Lodge,Luxurious,4/5
77,Isalo Rock Lodge,"We had a great, spacious room. Upkeep was perfect at this hotel, it looked brand new. Our bed was comfortable. We had a Jacuzzi room, it was perfect and we could see the TV while sitting in the hot tub. We liked that! It was a quiet hotel …",5/5
78,Isalo Rock Lodge,"The best hotel we had in Madagascar. Such great rooms and peaceful. Manager and staff were so kind and helpful. Paid 460 Ariari for super room with electricity 24/7. Only downside is the special bath (not the shower) had no warm water, they said maybe next year.",5/5
79,Isalo Rock Lodge,"Amazing design, local maintenance. Overall great place to stay.",5/5
80,Isalo Rock Lodge,Gorgeous.. hike without a guide. Kill for the sunset from the top of the rock,5/5
81,Isalo Rock Lodge,A well laid out Lodge with experienced courteous friendly staff. Great location with excellent rooms. Only let down is the restaurant food tends to be limited in scope,4/5
82,Isalo Rock Lodge,"Beautiful hotel with nice design on the room, but when you book the best room and the bathtube hasn’t have hot water, it’s just absolutely not normal for this kind of hotel. Especially when you have hot water on shower 🚿. Restaurant is …",4/5
83,ZARA Village,"(Translated by Google) Magical place
(Original)
Endroit magique",5/5
84,ZARA Village,"(Translated by Google) beautiful and authentic place
(Original) …",5/5
85,ZARA Village,,5/5
86,ZARA Village,,5/5
87,NOVOTEL Convention And Spa (Opening January 2020),"Overpriced for what it is for. We did the hibachi, although the food was good, the experience of the hibachi was not what it should be... Only lighting up fire and playing with the eggs and that's it? Please make sure to make the show …",3/5
88,NOVOTEL Convention And Spa (Opening January 2020),Big,4/5
89,NOVOTEL Convention And Spa (Opening January 2020),stop with the fake review,1/5
90,NOVOTEL Convention And Spa (Opening January 2020),(Translated by Google) Nice rooms ... But comfort is spoiled by inefficient air conditioning !! Very difficult to sleep with 26 ° ...: (( …,2/5
91,NOVOTEL Convention And Spa (Opening January 2020),"(Translated by Google) No complaints about the rooms, perfect.
On the other hand in terms of catering, I would have liked the prawns to be fresh, the canapota to be less fatty (too much oil and sauces) and that you really …",2/5
92,NOVOTEL Convention And Spa (Opening January 2020),"(Translated by Google) Luxurious hotel. Welcoming and professional staff
(Original) …",5/5
93,NOVOTEL Convention And Spa (Opening January 2020),"(Translated by Google) Amazed to see little notes! It is great luxury! Careful staff, great comfort, very design and quality.
Small flat, the windows do not open, completely non-smoking hotel. …",5/5
94,NOVOTEL Convention And Spa (Opening January 2020),"(Translated by Google) The hotel is very new, therefore comfortable and in good condition.
The staff are frankly very friendly. Wherever you are, you have the impression …",3/5
95,NOVOTEL Convention And Spa (Opening January 2020),"(Translated by Google) Wonderful hotel with superb welcome
(Original) …",5/5
96,NOVOTEL Convention And Spa (Opening January 2020),"(Translated by Google) I stayed at this establishment for business reasons. The place is great, located in a safe area near the expat area. As for the hotel, the staff are very nice and helpful. He speaks French very well. The rooms are …",5/5
97,Chambre d'hôtes Valiha Ivato,"(Translated by Google) April 2021 stay, one week with breakfast and meals, close to the airport
very warm welcome, attentive, accommodating, available, …",5/5
98,Chambre d'hôtes Valiha Ivato,"(Translated by Google) The owner couple is very dedicated and of a kindness that is more pleasant. I actively recommend them, the places are really nice …",4/5
99,Chambre d'hôtes Valiha Ivato,"(Translated by Google) Superb!
(Original)
Superbe!",5/5
100,Hôtel Mahajanga - Andafirôï Écolodge Resort,(Translated by Google) Very good stay at Ecolodge Andafirôï in Mahajanga in a paradisiac place! …,5/5
101,Hôtel Mahajanga - Andafirôï Écolodge Resort,"(Translated by Google) Calm place, interesting discoveries. The meals are very good …",5/5
102,Hôtel Mahajanga - Andafirôï Écolodge Resort,"(Translated by Google) Very good stay at Andafirôï Lodge Resort in Mahajanga! We discovered the region and the animals of the forest (especially the lemurs of Madagascar), great experience and great staff. …",5/5
103,Hôtel Mahajanga - Andafirôï Écolodge Resort,,5/5
104,BUNGALOW FINARITRA,"(Translated by Google) In the middle of the Andasibe Nature Reserve, east of Madagascar. Preserved place still seen its situation. There are many endemic animals such as lemurs. To see at least once in his life. …",5/5
105,BUNGALOW FINARITRA,"(Translated by Google) Quiet, clean with parking and in addition the price is affordable. I highly recommend it to you. Thank you …",5/5
106,BUNGALOW FINARITRA,"(Translated by Google) Very quiet, I enjoyed the secure parking very much
(Original) …",5/5
107,BUNGALOW FINARITRA,"(Translated by Google) I had a good rest during my visit to Toamasina
(Original) …",5/5
108,BUNGALOW FINARITRA,"(Translated by Google) Luxurious
(Original)
Luxueux",4/5
109,BUNGALOW FINARITRA,,5/5
110,BUNGALOW FINARITRA,,5/5
111,Hotel Carlton,DO NOT COME HERE THERE IS RATS AND THE ROOM SERVICE GUY WAS SNIFFING MY CHIDREN,1/5
112,Hotel Carlton,The view is super and the environment very neat. Hospitality good to go.,4/5
113,Hotel Carlton,"Nice location with a nice views on Anosy lake. Food is not good. Rooms are clean. For food, I would recommend the Citizen which is on the other side of the lake, plus it is cheaper and super super good!",4/5
114,Hotel Carlton,"Great entertainment over New Year's eve. The band was superb, played and sung to music from all over the world. Friendly staff that can speak both English and French. The food wasn't that great but the ambiance was excellent.",4/5
115,Hotel Carlton,"It's a very good hotel. Secured, clean, excellent service. You can change money at the reception and there is a good bar and restaurant at the hotel. Most recommended for stay at Tana in Madagascar.",5/5
116,Hotel Carlton,"Travel Back in Time to Classic Tana- once a very extravagant and spared-no-expense Hilton Hotel in the 1960s, in modern times the hotel has aged to a point no renovation can mask. However, it still has a classic elegant charm. Rooms are …",4/5
117,Hotel Carlton,"I stayed here for 2weeks during my trip to Madagascar. It's a very cool hotel, with great room service, restaurants, bars, gym, gift shops and a night club. It was quite close to my office so I could simply walk and not have to beat the traffic. Will recommend to anyone visiting Tana",5/5
118,Hotel Carlton,"Although the furniture and the decoration is a bit old, the hotel in general is very clean and quiet. Located, just at the heart of the Lower city. The breakfast is however kind of poor and it can be improved. Free wifi is working without problem. I didn't use the pool but it looks clean and well maintained as well.",4/5
119,Hotel Carlton,"5 star luxury hotel by the ritz group in Antananarivo, madagascar.
Well maintained and spacious property, but the lighting in the rooms is warm and …",4/5
120,Hotel Carlton,"Located in the center of Antananarivo, it is easy to spot as it is one of the few tall buildings in the area. In terms off accommodation it is up to satisfactory standards. If you go down to the restaurant, I especially recommend the sea bream fish which was quite delicious.",4/5
121,Le Zahir Lodge,"Very nice quiet and clean Hotel with a pool.
Front desk and cleaning staff was very friendly. …",4/5
122,Le Zahir Lodge,(Translated by Google) The lodges are few and well cared for in decor and cleanliness. Location close to the sea reachable in a few steps. Excellent cuisine. Friendly and helpful staff. I would go back and recommend it gladly. …,4/5
123,Le Zahir Lodge,(Translated by Google) Beautiful structure. A series of well-designed bungalows with verandas and kitchenettes arranged around a pool. Good breakfast and food. Access to the beach is easy. Italian owner and manager. For us it was a base …,4/5
124,Le Zahir Lodge,"(Translated by Google) We stayed at the Zahir Lodge for a week in late September, after a week of touring the North… we couldn't have asked for better! An intimate and comfortable place, a few bungalows furnished with care and in style with …",5/5
125,Le Zahir Lodge,(Translated by Google) We stayed for a few days and had a great time the place is very nice well kept all very clean the very kind staff the manageress Laura always available for any need you eat well cared for dishes and good advice at …,4/5
126,Le Zahir Lodge,(Translated by Google) A small resort with Italian owners. The staff is always available and speaks Italian. The kitchen is excellent and the bungalows are very well kept and clean. Too bad for the slightly silty sea water. The location is …,4/5
