,review,rating,sentiment
0,"Very warm and welcoming staff!
The rooms were clean and beautifully done.
The hotel is located right next to the beach! Food was amazing!",5,1
1,"What a lovely place to stay. Beautiful bungalow, right on the beach. Perfect for sunsets. Food is excellent in the restaurant, we didn't bother going anywhere else, which we would always usually do. Staff helpful. Drinks are more expensive …",5,1
2,A fantastic place where it's worth spending some days. Absolutely relaxing. Awsome people in charge of that place. Very good meal. And time to time local live music and dance.,5,1
3,"We have stayed at Ecolodge Ravoraha for 12 days and brought back lots of great memories with us. All staff were friendly, the facilities are clean, the garden is well manicured, food was delicious and the hotel is very safe. They have 24 …",5,1
4,"During our whole trip in Madagascar, this was our only negative bump. While Sophie's bungalow are very nice, her personnel has very bad attitude. We stayed there 4 nights and after the first night we requested to pay for our dinning. We …",3,0
5,"Very welcoming staff, hotel close to the airport, pretty bungalows. food ok",4,1
6,Stunning beaches,5,1
7, The place is very well conceptualized,5,1
8, Quite simply the best vacation of my life both in terms of the landscape (a paradise on earth) and meetings. We stayed there for 17 days in November 2019 and almost a year later we still think of those we left. We,5,1
9," Fairytale place, cozy, calm, intimate, staff and service worthy of great chefs.",5,1
10,"Excellent food... And amazing service!
Recommend!",5,1
11,Very professional and well organized. Friendly and helpful staff!,4,1
12,"We stayed at the hotel 31/12/20 to 2/01/21.Very cool atmosphere for a 31st December. We went for diner early and most of the tables were already booked.
I ordered a ""Filet de Merou"" - very tasty and refined fish. Sent compliments to …",4,1
13,"Lovely place, clean and serene. The staff is very friendly and hospitable. Great food! Reliable hotel shuttle services too. 👌🏿",5,1
14,Room was clean and beds comfortable. We had the family room. Hotel staff very accommodating. Restaurant on site was fairly decent. Breakfast included in room price. Very short distance from Airport.,5,1
15,Beautiful hotel located in Antanarivo Close to the airport. Shuttle service available to the airport makes this a great stopover location or overnight. There is a wonderful spa area and large pool. The rooms are clean and well updated. The …,5,1
16,Nice and spacious rooms. Clean and tidy. Has a great pool and lounging area. Decent food. Great place to stay.,4,1
17,"Great place to be.
Exceptional food, quick service!
Definitely recommend!",5,1
18,We had lunch at the restaurant. Food was very good. Location also was good being near the airport and a safer place .Team was helpful and friendly. Bread was so tasty that I bought some to bring home.,4,1
19,Nice hotel. Relaxed atmosphere and reliable pick up service. Perfect location close to the airport if you have an early flight. Good restaurant as well.,5,1
20,"Amazing island. Unfortunately I left my crossbow at home and I couldn't hunt the lemurs, but this is probably a good thing because the lemur population was already struggling on its own and a night with me and my crossbow probably would have made worms the new apex predator.",5,1
21,"Amazing. Could not say enough good things.
Paradise on earth.
The staff are unbelievable and go over and beyond. …",5,1
22,"Really love this awesome island. Amazing food and very nice staff. You can relax, enjoy every single minute while diving or scuba diving or just sleeping on the white sand beach. Great the chef I love his culinary creations. Also the staff at the diving totaly meet all my expectations.",5,1
23,"It was really good. The staff are lovely and welcoming, can't do enough to help and tut Island is great.",4,1
24,"The stay was far too short, private and pristine beaches helpful staff, hats off to chef ""claud"" who prepared our meals which was of the best quality. One have ample opportunity to meet the local culture and to interact with nature. Beautiful scuba diving is also available in this up class luxury resort.",5,1
25,this is truly paradise my husband & I love it here this is our second time back .we will be back again . the staff our so friendly & can't do enough for you. we had such a lovely warm welcome when we arrived & there was a few familiar …,5,1
26,Let the magic happen!,5,1
27,I could write a long review but quite simply I could also sum it up by saying that this place is paradise! …,5,1
28,"Beautiful, stunning and postcard perfect. Wonderful hospitality and great diving as well.",5,1
29,"ECO CHIC LUXURY RESORT
LOCATION: the beauty of tsarabanjina’s white sand beaches, turquoise waters, …",5,1
30,"We stayed 3 weeks!! No kidding... I adored everything in that place, starting from the staff! They were so nice to us, treating us so great, felt spoiled at time... most of the time... the food was amazing, very tasty and delicious and last …",5,1
31,"We stayed in october. Lodge sea view - great room. Restaurant is great, infinity pool was amazing we didn’t want to get out. DON’T BOOK ON SUNDAY’S! there is super annoying party on the beach heavy bass from 2pm-1am.",4,1
32,Stunning views. A little bit of paradise in paradise 👌,4,1
33,Was traveling by myself from America and the staff took it upon themselves to check in with me to make sure I was feeling safe and comfortable. They never once made me feel like I was a bother to them and helped to make sure the locals …,5,1
34,"My room was a dark broom cupboard, dinner service was lacking (to be polite), food average. Thank god it was only for 1 night. A sad end to an otherwise perfect holiday.",1,0
35,"Wonderful stay, the team is friendly and professional. The restaurant was delicious and the hotel itself is charming.
I warmly recommend this place !",5,1
